"","created_at","screen_name","text","is_quote","is_retweet","retweet_text"
"1",2021-12-14,"UNDPCY","The educational field visit closed with an open invitation for participants to share practical solutions/ideas for addressing environmental challenges.
Possible areas for future focus included monitoring air pollution &amp; creating awareness raising activities to engage communities. https://t.co/3lt1BhEdKC",FALSE,FALSE,NA
"2",2021-12-14,"UNDPCY","Led by the co-chairs, the TC on Environment organized an 🇪🇺EU funded field visit to Mitsero/Lefke/Lefka to call attention to issues raised from mining/quarrying.
In attendance were TC members, reps from EC, UNDP Cyprus, Greek Cypriot &amp; Turkish Cypriot geologists &amp; local experts. https://t.co/YPiFXX6Vxs",FALSE,FALSE,NA
"3",2021-12-13,"UNDPCY","Participants discussed maintaining #OurSharedHeritage and what individuals, communities &amp; TCCH can do to further protect monuments/completed projects.
We need to work together to ensure the survival of these sites.
Thank you to all participants and #HeritageYouthAmbassadors! https://t.co/RshT3S2mXl",FALSE,FALSE,NA
"4",2021-12-13,"UNDPCY","On Saturday, TCCH organized A Cultural &amp; Natural Heritage Walk Through Paphos with European Commission funding.
The day’s events started with a guided walk at the periphery of the Evretou/Evretu dam and included a visit to the mosque in Evretou/Evretu, conserved by TCCH. https://t.co/efioooZBoE",FALSE,FALSE,NA
"5",2021-12-03,"UNDPCY","Following the completion of 🇪🇺EU funded conservation works, TCCH, EU, UNDP &amp; the Advisory Board conducted a site visit to the Kampanopetra &amp; Agios Epiphanios basilicas in Salamis Ancient City &amp; the early Christian basilica of Apostolos Barnavas to see the results of cooperation! https://t.co/DLgpT4f7PZ",FALSE,FALSE,NA
"6",2021-12-03,"UNDPCY","As UNDP Cyprus, we are wearing orange today to raise awareness on #GenderBasedViolence &amp; its increased occurrence during the COVID-19 pandemic.
Join us and spread the message - let’s stand together to end violence against women! #OrangeTheWorld #16Days #16DaysofActivism2021 https://t.co/oe9lkRpnFj",FALSE,FALSE,NA
"7",2021-12-02,"UNDPCY","Ending violence against women is everyone’s business. 

Here are 10 ways you can #OrangeTheWorld and make a difference during the #16Days of Activism against Gender-Based Violence, and every day. https://t.co/DzxNlsiF21 https://t.co/KYBOvUOLV9",FALSE,TRUE,"Ending violence against women is everyone’s business. 

Here are 10 ways you can #OrangeTheWorld and make a difference during the #16Days of Activism against Gender-Based Violence, and every day. https://t.co/DzxNlsiF21 https://t.co/KYBOvUOLV9"
"8",2021-12-02,"UNDPCY","Online violence risks preventing women and girls from advancing in STEM and taking full advantage of learning and employment opportunities that are enabled by and connected to the digital transformation. #16days #EndOnlineVAW #OrangeTheWorld https://t.co/yj1MjxbShD",FALSE,FALSE,NA
"9",2021-12-02,"UNDPCY","‼️Today is the last day to register for the event “A Cultural and Natural Heritage Walk Through Paphos.”
All interested parties please email registry.cy@undp.org with your name, date of birth, email and phone number to register. https://t.co/WEdZ7ErgkH",TRUE,FALSE,NA
"10",2021-11-29,"UNDPCY","TCCH invites you to a “A Cultural and Natural Heritage Walk Through Paphos,” funded by the 🇪🇺EU. 
🗓Date: 4 Dec
⏰Time: 8.30-17.30
🚶‍♀️Length of walk: 3.5 hrs
✅Level: Easy
Register: Email registry.cy@undp.org by 2 Dec. with your name, D.O.B, email, phone #
https://t.co/07uAYpjQo3 https://t.co/s8PuyfKPgi",FALSE,FALSE,NA
